184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,100
184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,288
184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,288
184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,100
184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,288
184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,288
184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,100
184127,alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root,288
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 288, 1
184127, alien:///alice/data/2012/LHC12d/000184127/pass2/12000184127000.21/AliESDs.root, 100, 9
